Product URL,Product Name,Price,Ratings,Reviews
/Isle-Coco-Hidesign-Womens-Sling/dp/B07L6D1VFK,Hidesign Women Sling Bag (Blue),"₹1,599",4.3 out of 5 stars,(128)
/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,₹649,4.3 out of 5 stars,(302)
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=1DtS1&content-id=amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783:amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_p=c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_r=FGBCPJA7EMTZQ22Q5MD9&pd_rd_wg=bIKhI&pd_rd_r=fc7812df-637c-4806-ba84-056e8df15ea4&qid=1675433210,,,,
,,,,
/gp/help/customer/display.html?nodeId=200533820,,,,
,,,,
/ADISA-Womens-Girls-Sling-SL5029-CRE_Off-White/dp/B083LCD3L4,ADISA Women's & Girls' Sling Bag,₹399,4.0 out of 5 stars,"(1,536)"
/Chumbak-Womens-Flower-Canvas-Sling/dp/B08FRFFGDB,Chumbak Sling Bags,₹997,3.8 out of 5 stars,(131)
/Shoulder-Lightweight-Duffle-Weekend-Blue-Orange/dp/B09139DYF1,"Aurion Vista Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga",₹299,4.1 out of 5 stars,(978)
,,,,
/Wildcraft-Ltrs-orange-Rucksack-8903338073864/dp/B01G5I8YLC,"Wildcraft 45 Ltrs Grey and Orange Rucksack (8903338073864), Large","₹1,749",4.3 out of 5 stars,"(8,681)"
/DailyObjects-Trio-Quin-Trapeze-Crossbody/dp/B082J15BNJ,"DailyObjects Trapeze Sling Crossbody Bag for girls and women | Vegan leather, Stylish, Sturdy, Zip closure with Adjustable Straps (Multicolour)","₹1,099",4.1 out of 5 stars,(736)
/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C,F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,"₹1,139",4.4 out of 5 stars,(794)
/Nelle-Harper-Womens-Shoulder-Dark/dp/B07RBR6NW2,Nelle Harper Women's Handbag,₹699,3.9 out of 5 stars,"(2,816)"
/Chumbak-Forest-Flowers-Embroidered-Green/dp/B084YYMS2W,Chumbak Forest Flowers Embroidered Sling Bag - Green,"₹2,396",4.0 out of 5 stars,(12)
/Baggit-2121247-Womens-Handbag-Green/dp/B0992BN8KT,Baggit Women's Sling bag (Teal),₹689,4.1 out of 5 stars,(47)
/AirCase-Messenger-15-6-Inch-MacBook-2-Multi/dp/B07WPBDD6D,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women",₹949,3.7 out of 5 stars,(120)
,,,,
/Lino-Perros-Womens-Tote-Multi-Colour/dp/B07JN6TTCK,Lino Perros leatherette Tote Bag,₹919,3.9 out of 5 stars,(484)
/Antin-Metallic-Shoulder-contrast-detachable/dp/B09MRWPZGW,"Antin Rose Gold Metallic Faux Leather Shoulder Bags Wear as Tote Bag, Handbag, Sling Bag with contrast double handle and detachable shoulder strap. (ACPL-5021_RG)","₹1,000",4.4 out of 5 stars,(52)
/Vector-Polyester-Blitz-Gym-Grey-Orange/dp/B091MYFBBR,Vector X Polyester Blitz Gym Bag (Grey-Orange),₹299,3.5 out of 5 stars,(5)
/Arctic-Fox-Shutter-Topography-Camera/dp/B0835GMWBC,Arctic Fox Sling Shutter Topography Camera Bag,"₹1,199",4.5 out of 5 stars,(283)
/Aliizey-Jacquard-Handbag-College-AJ_6212_CRM_BLK_TB/dp/B07XGM9CG1,ALII AND ALIIZEY Tote Bag (6212),₹889,4.3 out of 5 stars,"(1,054)"
/Lavie-Cetan-Womens-Sling-Bag/dp/B07G8528H6,Cetan Zip Flap Over Sling bag,₹719,4.1 out of 5 stars,(159)
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=F4BHD&content-id=amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783:amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_p=c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_r=6FH5X0GA37DSDBST06XR&pd_rd_wg=VNHhS&pd_rd_r=0f2ef37a-eedf-4c73-994e-0fcccaf3f4d7&qid=1675433275,,,,
,,,,
/gp/help/customer/display.html?nodeId=200533820,,,,
,,,,
/Lavie-Moritz-Womens-Sling-Navy/dp/B07SMBCMG7,Lavie Women's Reptile Woven Texture Sling Bag | Ladies Purse Handbag | Crossbody Sling Strap,₹888,4.0 out of 5 stars,"(1,029)"
/DailyObjects-Womens-Vegan-Leather-Fatty/dp/B07ZZ8VCB1,DailyObjects Women's Vegan Leather Fatty Tote Bag,"₹1,399",4.2 out of 5 stars,(354)
/Cartoon-Unicorn-Haversack-Drawstring-Birthday/dp/B0BFXLZZ3J,"AK Store Cartoon Unicorn Print Dori Bag Haversack Bags, Drawstring Sack Bags, Exam Bags, Tution Bags for Boys, Girls, Kids, Birthday Return Gift Bags, Pink",₹99,,
,,,,
/Aristocrat-Spark-Polyester-Small-Duffle/dp/B0B6CF261N,Aristocrat Spark 53cm Polyester Small Red Duffle Bag,"₹1,029",4.3 out of 5 stars,(59)
/Kraptick-backpack-maternity-nursing-mothers/dp/B0BFWJFS62,"Kraptick Diaper bag backpack, diaper bags for mom for travel, baby diaper bag, maternity bags for mother and baby, nursing bags for mothers, diaper bag handbag",₹975,5.0 out of 5 stars,(2)
/Lavie-Beech-Womens-Handbag-Lt-Gold/dp/B078XXYNM8,Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,"₹1,547",4.2 out of 5 stars,"(3,623)"
/Chumbak-Charm-Navy-Fashion-Tote/dp/B084YP2ZLJ,Chumbak Owl Charm Fashion Tote Bag - Navy,"₹2,995",4.2 out of 5 stars,(22)
/Eco-Right-Shoulder-Women-Green/dp/B0B1VGG258,"Eco Right Shoulder Bags for Women, Small Purse for Women & Girls",₹999,4.0 out of 5 stars,(4)
/Lavie-Moritz-Womens-Sling-Black/dp/B07TDN3J4K,Moritz Qlt Flap Over Sling bag,"₹1,400",4.3 out of 5 stars,(326)
/AirCase-C39-Backpack-Rucksacks-15-6-Inch/dp/B07V1NVB7T,"AirCase C39- 13 Inch/14 Inch/15 Inch Laptop Backpack for college, Men and Women (Black)","₹1,519",4.0 out of 5 stars,(136)
,,,,
/Lavie-Cetan-Womens-Sling-Dk-Pink/dp/B07G8JJZ66,Lavie Cetan Hard Flap Sling Bag | Ladies Purse Handbag,"₹1,171",3.9 out of 5 stars,(271)
/Compartment-Bottle-Wristband-Gloves-Fitness/dp/B0BQN19KQM,"Hang It Gym Bag Combo for Men and Woman ll Gym Bag with Shoe Compartment ,Blue 500ML Bottle, Blue Wristband, Blue Gloves ll Gym kit for Men and Women ll Gym Bag & Fitness Kit & Gym Bag Combo",₹549,,
/Lino-Perros-Womens-Sling-Beige/dp/B07L8HQKMD,Lino Perros Faux Leather Sling Bag,₹979,3.7 out of 5 stars,(182)
/Nivia-6852BK-Polyester-String-Black/dp/B07NNDWGYC,Nivia 6852BK Polyester String Bag (Black),₹303,4.1 out of 5 stars,(101)
/Amazon-Basics-Casual-Laptop-Backpack/dp/B09W4X977X,AmazonBasics 21 ltrs (29 Cms)Casual Backpack-21 L(CLB-6_black),₹839,4.2 out of 5 stars,(385)
/ASTRID-Womens-Freebie-Watermelon-Textured/dp/B08Q7G31MM,ASTRID Cotton Tote Bags,₹699,4.0 out of 5 stars,(58)
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=6SoNC&content-id=amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783:amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_p=c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_r=TSYEHASBYRD5HRV7KZYT&pd_rd_wg=vZuWp&pd_rd_r=aab79d2c-9334-47c8-9ec1-0efaa4d2dff9&qid=1675433309,,,,
,,,,
/gp/help/customer/display.html?nodeId=200533820,,,,
,,,,
/AQVA-Stripe-Canvas-Shoulder-Shopping/dp/B08Y13LD57,"AQVA Canvas Tote Bag for Women, Shoulder Bag with Inner Zip Pocket, Printed Handbag for Shopping, Travel, Work, Beach",₹755,4.4 out of 5 stars,(546)
/Chumbak-Tropical-Vines-Crossbody-Bag/dp/B084Z4S47R,Chumbak Tropical Vines Crossbody Bag - Maroon,"₹2,446",,
,,,,
,,,,
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=9K3qo&content-id=amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783:amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_p=c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_r=TBQ6NM86NX39XHCVEESF&pd_rd_wg=0L8ql&pd_rd_r=46150e17-4320-41be-bb30-4f2b3956e3aa&qid=1675433326,,,,
,,,,
/gp/help/customer/display.html?nodeId=200533820,,,,
